item_id,gb_flag
10009572,0
10041052,1
10073489,0
10051723,0
10000796,0
10033988,0
10057141,0
10064621,0
10071568,0
10045957,1
10057423,0
10080224,0
10076458,1
10031773,0
10057681,0
10068574,0
10004576,0
10002356,0
10003142,0
10007119,0
10000851,0
10024351,0
10020675,0
10067587,0
10074408,0
10067270,0
10070267,0
10029520,0
10003845,0
10044872,1
10047781,0
10066950,0
10051086,0
10076121,0
10070272,0
10070336,0
10083709,0
10000192,0
10002594,0
10007700,0
10035526,0
10010199,0
10004059,1
10002542,0
10005489,0
10063549,0
10067973,0
10064239,0
10054702,0
10047876,0
10042658,1
10061148,0
10061195,0
10055332,0
10076742,0
10000602,0
10000938,0
10000984,0
10005545,0
10011139,0
10008402,0
10055637,0
10035901,0
10036753,0
10000797,0
10000048,0
10046967,1
10065788,0
10058357,0
10064692,0
10069203,0
10007390,0
10054558,0
10048535,0
10076341,1
10053036,0
10006538,0
10038694,0
10045796,0
10036004,1
10086721,0
10008717,0
10002942,0
10000361,0
10000962,0
10012207,0
10000564,0
10028965,1
10064411,0
10000909,0
10067373,0
10075681,0
10063265,0
10005646,0
10030796,0
10051247,0
10046312,0
10046108,0
10069991,0
10074989,0
10042654,1
10079664,0
10002812,0
10023022,0
10002905,0
10020228,0
10010760,0
10067986,0
10015071,0
10064653,0
10047206,1
10061330,1
10056600,0
10060296,0
10038807,0
10002468,0
10026289,0
10013046,0
10042830,1
10075178,1
10046319,1
10051153,0
10023003,0
10029960,0
10073437,0
10044808,0
10045611,0
10046815,1
10064747,0
10063826,0
10050733,0
10044115,1
10057062,0
10007463,0
10075090,0
10000367,0
10003005,0
10004449,0
10017507,0
10010394,0
10005161,0
10001392,0
10049093,1
10075145,0
10070346,0
10050203,1
10075287,0
10070324,0
10076257,1
10029123,0
10051745,0
10063433,0
10007926,0
10051257,0
10049955,1
10066247,0
10080210,0
10056980,0
10077888,0
10067474,0
10007467,0
10015379,0
10040917,0
10001471,0
10047497,0
10048982,0
10052442,0
10042141,1
10070317,1
10044662,0
10046430,0
10046196,0
10066596,1
10073498,0
10050273,1
10004070,0
10002065,0
10032009,0
10047832,0
10064969,0
10054743,0
10079822,0
10056703,0
10067526,0
10082138,0
10061019,0
10050286,0
10069131,0
10006449,0
10005136,0
10005194,0
10010525,0
10003848,0
10019787,0
10033316,0
10044080,1
10055802,0
10065911,0
10076339,1
10063809,0
10044099,1
10024514,0
10058610,0
10000196,0
10083080,0
10088102,0
10081458,0
10006957,0
10017509,0
10042246,0
10005955,1
10040905,0
10043055,0
10043337,1
10062457,1
10066975,1
10066815,0
10060451,0
10065952,0
10000586,0
10001791,0
10032498,0
10068959,0
10046034,1
10075211,1
10075226,0
10006327,0
10000954,0
10002686,0
10004013,1
10007517,0
10047054,0
10015785,0
10067442,0
10072423,0
10038947,0
10016357,0
10056708,0
10067703,0
10068617,0
10049670,0
10062997,0
10046886,0
10015804,0
10017495,0
10031801,0
